met,altitude_km,velocity_ms,dynamic_pressure_kpa,thrust_kn,pitch_deg,booster_active,booster_alt_km,booster_vel_ms,booster_thrust_kn
8.52,0.596,82.96,4.23,241.7,88.99,0,0.0,0.0,0.0
8.58,0.601,83.58,4.29,241.6,88.98,0,0.0,0.0,0.0
8.62,0.605,83.99,4.33,241.4,88.97,0,0.0,0.0,0.0
8.66,0.608,84.4,4.37,242.1,88.96,0,0.0,0.0,0.0
8.72,0.613,85.03,4.43,241.5,88.95,0,0.0,0.0,0.0
8.78,0.618,85.65,4.5,242.1,88.94,0,0.0,0.0,0.0
8.82,0.622,86.06,4.54,241.7,88.93,0,0.0,0.0,0.0
8.86,0.625,86.48,4.58,242.3,88.92,0,0.0,0.0,0.0
8.92,0.63,87.1,4.65,242.3,88.91,0,0.0,0.0,0.0
8.98,0.636,87.73,4.71,242.2,88.9,0,0.0,0.0,0.0
9.02,0.639,88.15,4.75,241.6,88.89,0,0.0,0.0,0.0
9.08,0.644,88.77,4.82,242.0,88.88,0,0.0,0.0,0.0
9.12,0.648,89.19,4.86,241.5,88.87,0,0.0,0.0,0.0
9.16,0.652,89.61,4.91,242.2,88.86,0,0.0,0.0,0.0
9.22,0.657,90.24,4.97,241.8,88.85,0,0.0,0.0,0.0
9.28,0.662,90.87,5.04,241.8,88.84,0,0.0,0.0,0.0
9.32,0.666,91.29,5.09,242.1,88.84,0,0.0,0.0,0.0
9.38,0.672,91.92,5.15,241.8,88.83,0,0.0,0.0,0.0
9.42,0.675,92.34,5.2,242.6,88.82,0,0.0,0.0,0.0
9.48,0.681,92.97,5.27,242.3,88.81,0,0.0,0.0,0.0
9.52,0.685,93.39,5.31,242.0,88.8,0,0.0,0.0,0.0
9.58,0.69,94.03,5.38,242.2,88.79,0,0.0,0.0,0.0
9.62,0.694,94.45,5.43,241.8,88.79,0,0.0,0.0,0.0
9.68,0.7,95.09,5.5,241.9,88.78,0,0.0,0.0,0.0
9.74,0.705,95.72,5.57,242.7,88.77,0,0.0,0.0,0.0
9.78,0.709,96.15,5.62,242.7,88.76,0,0.0,0.0,0.0
9.82,0.713,96.57,5.67,242.0,88.76,0,0.0,0.0,0.0
9.88,0.719,97.21,5.74,242.9,88.75,0,0.0,0.0,0.0
9.92,0.723,97.64,5.79,243.0,88.74,0,0.0,0.0,0.0
9.98,0.729,98.28,5.86,242.3,88.73,0,0.0,0.0,0.0
10.02,0.733,98.71,5.91,242.8,88.73,0,0.0,0.0,0.0
10.08,0.739,99.35,5.98,242.4,88.72,0,0.0,0.0,0.0
10.12,0.743,99.78,6.03,242.9,88.71,0,0.0,0.0,0.0
10.18,0.749,100.42,6.1,243.0,88.7,0,0.0,0.0,0.0
